Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-RNA-LCMV-0d-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 -noadj -condenseGenes) (cmd=getDiffExpression.pl tag_counts.txt KLRGhi-LCMV-12d KLRGhi-LCMV-7d KLRGlo-LCMV-12d KLRGlo-LCMV-7d RNA-LCMV-0d RNA-LCMV-35d-rep1 RNA-LCMV-35d-rep2 Foxo1-KO-KLRGhi-LCMV-12d Foxo1-KO-KLRGhi-LCMV-7d Foxo1-KO-KLRGlo-LCMV-7d Foxo1-KO-LCMV-0d)	Annotation/Divergence	KLRGhi-LCMV-12d vs. KLRGlo-LCMV-12d logFC	KLRGhi-LCMV-12d vs. KLRGlo-LCMV-12d FDR	KLRGhi-LCMV-12d vs. KLRGlo-LCMV-12d logCPM
NM_001033405	Treml2|AW049306|Gm750|Tlt2|-|17 C|17|protein-coding	5.83535906430681	1.6712622948041198e-13	3.1856073461398196
NM_029658	Fam101b|1500005K14Rik|RefilinB|cfm|RP23-96I9.3|11|11 B4|protein-coding	4.42415896793737	1.85341286193783e-11	4.3000386307294
NM_007719	Ccr7|CD197|Cdw197|Cmkbr7|EBI1|Ebi1h|RP23-80N1.2|11 D|11|protein-coding	4.32932243059991	2.8552302617747104e-11	4.29172834752643
NM_009403	Tnfsf8|CD153|CD30LG|Cd30l|-|4 C1|4 34.06 cM|protein-coding	4.0539566599954995	8.456134429787761e-10	3.9465101402940204
NM_008741	Nsg2|-|RP23-71G18.1|11 A4|11|protein-coding	3.98743467824551	2.61614322855373e-10	4.865027817112519
NR_104123	Tmevpg1|AI447422|-|10 D2|10|ncRNA	3.90578501503232	1.85339069852918e-08	3.17606313849623
NM_001081278	Tbc1d4|5930406J04Rik|A930035N22|AV295684|As160|-|14 E2.3|14|protein-coding	3.64677336383444	1.00436282840974e-07	3.2298297020327995
NM_009843	Ctla4|Cd152|Ctla-4|Ly-56|CH29-120A16.2|1 C|1 30.58 cM|protein-coding	3.5306440071127003	2.6119642680754798e-08	4.7128821418197
NM_001290814	Aff3|3222402O04Rik|A730046J16|LAF-4|Laf4|-|1 B|1 16.58 cM|protein-coding	3.4745778580952202	3.0060189719609e-08	4.95149379801199
NM_001033254	Pak6|4732456M09|RP23-204G5.2|2 E5|2|protein-coding	3.45434835712752	5.606135772190981e-08	4.550423393107019
