Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-RNA-LCMV-0d-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 -noadj -condenseGenes) (cmd=getDiffExpression.pl tag_counts.txt KLRGhi-LCMV-12d KLRGhi-LCMV-7d KLRGlo-LCMV-12d KLRGlo-LCMV-7d RNA-LCMV-0d RNA-LCMV-35d-rep1 RNA-LCMV-35d-rep2 Foxo1-KO-KLRGhi-LCMV-12d Foxo1-KO-KLRGhi-LCMV-7d Foxo1-KO-KLRGlo-LCMV-7d Foxo1-KO-LCMV-0d)	Annotation/Divergence	KLRGlo-LCMV-7d vs. RNA-LCMV-0d logFC	KLRGlo-LCMV-7d vs. RNA-LCMV-0d FDR	KLRGlo-LCMV-7d vs. RNA-LCMV-0d logCPM
NM_001081984	Popdc2|AV006127|Pop2|-|16 B3|16|protein-coding	-12.4159601904826	1.4206507053406e-25	4.234557262674399
NM_178609	E2f7|A630014C11Rik|D10Ertd739e|-|10 D1|10 57.74 cM|protein-coding	-12.196062723981301	2.21074691482965e-24	4.01605211996849
NM_001081115	Nccrp1|1190020J12Rik|Gm163|NCCRP-1|-|7 A3|7|protein-coding	-12.0707823964146	1.0196647101630099e-23	3.8916639887529803
NM_001081085	Sapcd2|2010317E24Rik|6030458L21Rik|AL033337|ang|RP23-47P18.4|2 A3|2|protein-coding	-12.024644836264802	1.69385972235495e-23	3.84587475374869
NM_028222	Cdkn3|2410006H10Rik|KAP|-|14|14 C1|protein-coding	-11.807815060358601	2.3647955862091703e-22	3.63083745807991
NM_001025602	Il1rl1|DER4|Fit-1|Ly84|ST2L|St2|St2-rs1|T1|T1/ST2|-|1 B|1 19.19 cM|protein-coding	-11.7981675910559	2.59599819367699e-22	3.6212760755122995
NM_173414	Lancl3|6030463G20Rik|RP23-423L11.1|X A1.1|X|protein-coding	-11.6234453621747	2.0237143418202e-21	3.4482150839423995
NM_030159	Troap|AW476063|E130301L11Rik|tastin|-|15|15 F3|protein-coding	-11.505880231623198	8.261733253853458e-21	3.33188437557693
NM_019819	Dusp14|1110014C10Rik|2310042C07Rik|D11Ertd395e|MKP-L|Mkp6|RP23-395B22.3|11 C|11 51.29 cM|protein-coding	-11.4329451639199	1.86023456138895e-20	3.25976626060031
NM_023209	Pbk|2810434B10Rik|AW538537|D14Ertd732e|TOPK|-|14 D1|14 34.36 cM|protein-coding	-11.297985249151301	9.60415487139074e-20	3.12642909528973
NM_027571	P2ry12|2900079B22Rik|4921504D23Rik|P2Y12|-|3 D|3|protein-coding	-11.1641852080667	4.79435096311859e-19	2.9943914570597006
NM_001004174	AA467197|Nmes1|RP23-101F14.3|2 E5|2|protein-coding	-11.060396311686098	1.6321005116063e-18	2.8920840419206297
NM_211138	Pcyt1b|AW045697|CTTbeta|RP23-369L6.1|X C3|X|protein-coding	-10.769245325452099	5.16942463788016e-17	2.60568899640241
