Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-RNA-LCMV-0d-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 -noadj -condenseGenes) (cmd=getDiffExpression.pl tag_counts.txt KLRGhi-LCMV-12d KLRGhi-LCMV-7d KLRGlo-LCMV-12d KLRGlo-LCMV-7d RNA-LCMV-0d RNA-LCMV-35d-rep1 RNA-LCMV-35d-rep2 Foxo1-KO-KLRGhi-LCMV-12d Foxo1-KO-KLRGhi-LCMV-7d Foxo1-KO-KLRGlo-LCMV-7d Foxo1-KO-LCMV-0d)	Annotation/Divergence	KLRGhi-LCMV-12d vs. Foxo1-KO-KLRGhi-LCMV-12d logFC	KLRGhi-LCMV-12d vs. Foxo1-KO-KLRGhi-LCMV-12d FDR	KLRGhi-LCMV-12d vs. Foxo1-KO-KLRGhi-LCMV-12d logCPM
NM_016689	Aqp3|AQP-2|RP23-28I8.7|4 B1|4|protein-coding	-4.8292724228569295	7.79910457509862e-09	2.6814645615648502
NM_001013373	Tmprss13|BC010843|Tpmrss13|-|9 A5.2|9|protein-coding	-4.71774120187682	2.80774480086488e-08	2.3292269505519103
NM_026864	Rasl11a|1110065D03Rik|AI852031|-|5 G3|5|protein-coding	-4.47935286141451	4.42680487768175e-08	2.56719197396942
NM_027309	Lysmd2|2210402C18Rik|AV033872|AW538442|-|9 D|9|protein-coding	-4.24764663675128	1.42443688764699e-07	2.5367867439232503
NM_016959	Rps3a1|Rps3a|-|3 F1|3|protein-coding	-4.04285648310241	9.55744381977091e-09	3.6922331026079704
NM_144551	Trib2|AW319517|TRB-2|TRB2|-|12 A1.1|12|protein-coding	-3.74440066633326	3.30530640853316e-07	3.0367200817682702
NM_001162884	Igsf10|6530405F15Rik|9030224D03|AA409708|AA536958|AI414626|Adlican2|CMF608|-|3 D|3|protein-coding	-3.5049437654514404	1.1489880529439e-05	2.3029424156217404
NM_170684	Cpne7|AW047065|-|8 E1|8|protein-coding	-3.46699364523898	2.28083685755713e-07	4.24282566087816
NM_033581	Pcdhgc3|PC43|Pcdh2|-|18 B3|18 19.67 cM|protein-coding	-3.3667007017197297	3.30530640853316e-07	4.46328406687568
NM_009331	Tcf7|AI465550|TCF-1|Tcf1|RP23-223A11.3|11 B1.3|11 31.86 cM|protein-coding	-3.17277212648212	3.58027374304446e-07	7.73963356385192
NM_019739	Foxo1|AI876417|Afxh|FKHR|Fkhr1|Foxo1a|-|3 C|3 23.19 cM|protein-coding	-3.07207765679452	1.19319639231106e-06	6.530422214054379
NM_177855	Med12l|A130035F20|A630079M02|AU044581|TRALPUSH|-|3 D|3|protein-coding	-3.01491561527041	6.973803637781099e-06	4.31704353938304
NM_172532	Aldh5a1|6330403E24Rik|Ahd-1|Ahd1|D630032B01Rik|OTTMUSG00000000613|SSADH|Ssdh1|RP23-92G13.10-001|13 A3.1|13 10.77 cM|protein-coding	-2.91614211556338	0.000539676704567638	2.02005563565231
NM_033582	Pcdhgc4|-|-|18 B3|18|protein-coding	-2.87449470498869	4.8496559336583206e-05	3.5140459983369703
NM_011338	Ccl9|CCF18|MRP-2|Scya10|Scya9|RP23-320E6.3|11 C|11 50.81 cM|protein-coding	-2.8526205183076696	1.07505294599555e-05	5.80571949394536
NM_027460	Slc25a33|5730438N18Rik|Pnc1|RP23-383I7.2|4|4 E1|protein-coding	-2.76615952824642	4.8496559336583206e-05	4.20871251734892
NM_033594	Pcdhga11|-|-|18 B3|18|protein-coding	-2.73932046474623	0.000121043762015075	3.39763808578099
NM_033575	Pcdhgb2|-|-|18 B3|18|protein-coding	-2.73514651025737	0.000121043762015075	3.3940667181289204
NM_033585	Pcdhga2|mKIAA0588|-|18 B3|18|protein-coding	-2.73096044478281	0.000121043762015075	3.3904864089440094
NM_033592	Pcdhga9|-|-|18 B3|18|protein-coding	-2.73096044478281	0.000121043762015075	3.3904864089440094
NM_033577	Pcdhgb5|-|-|18 B3|18|protein-coding	-2.73096044478281	0.000121043762015075	3.3904864089440094
NM_001301259	Pcdha7-g|-|-|-|protein-coding	-2.73096044478281	0.000121043762015075	3.3904864089440094
NM_033587	Pcdhga4|-|-|18 B3|18|protein-coding	-2.73096044478281	0.000121043762015075	3.3904864089440094
NM_033580	Pcdhgb8|-|-|18 B3|18|protein-coding	-2.73096044478281	0.000121043762015075	3.3904864089440094
NM_033593	Pcdhga10|-|-|18 B3|18|protein-coding	-2.73096044478281	0.000121043762015075	3.3904864089440094
NM_033590	Pcdhga7|-|-|18 B3|18|protein-coding	-2.73096044478281	0.000121043762015075	3.3904864089440094
NM_033589	Pcdhga6|-|-|18 B3|18|protein-coding	-2.73096044478281	0.000121043762015075	3.3904864089440094
NM_033574	Pcdhgb1|-|-|18 B3|18|protein-coding	-2.73096044478281	0.000121043762015075	3.3904864089440094
NM_033586	Pcdhga3|-|-|18 B3|18|protein-coding	-2.73096044478281	0.000121043762015075	3.3904864089440094
NM_001301256	Pcdha6-g|-|-|-|protein-coding	-2.73096044478281	0.000121043762015075	3.3904864089440094
NM_033588	Pcdhga5|-|-|18 B3|18|protein-coding	-2.73096044478281	0.000121043762015075	3.3904864089440094
NM_033576	Pcdhgb4|-|-|18 B3|18|protein-coding	-2.73096044478281	0.000121043762015075	3.3904864089440094
NM_001174154	Pcdha4-g|-|-|-|protein-coding	-2.73096044478281	0.000121043762015075	3.3904864089440094
NM_033595	Pcdhga12|Pcdh13|pc2c|-|18 C|18|protein-coding	-2.7112055940459903	0.000133971512717552	3.40931898480753
NM_033584	Pcdhga1|-|-|18 B3|18|protein-coding	-2.69453371916057	0.000145663129267208	3.39509574656001
NM_033578	Pcdhgb6|-|-|18 B3|18|protein-coding	-2.69453371916057	0.000145663129267208	3.39509574656001
NM_007955	Ptprv|Esp|OST|OST-PTP|mOST-PTP|-|1|1|protein-coding	-2.69405889558442	3.5600401538036204e-05	5.957396331443469
NM_033579	Pcdhgb7|-|-|18 B3|18|protein-coding	-2.66972049553444	0.000154414359557802	3.4428121908192497
NM_007799	Ctse|A430072O03Rik|C920004C08Rik|CE|CatE|-|1 F|1 57.14 cM|protein-coding	-2.65150685001054	4.0695919612454995e-05	6.935482620989901
NM_175649	Tnfrsf26|Tnfrh3|Tnfrsf24|-|7 F5|7 88.26 cM|protein-coding	-2.6326076478004703	0.000121043762015075	4.37799306299474
NM_177387	Ust|D930010O20Rik|UA2OST|-|10 A1|10|protein-coding	-2.62873110519201	0.000121043762015075	4.06975082739533
NM_008421	Kcnc1|C230009H10Rik|KShIIIB|KV4|Kcr2-1|Kv3.1|NGK2|Shaw|-|7 B4|7 30.1 cM|protein-coding	-2.61044554856906	0.000715908217849639	2.6079825757098702
NM_033591	Pcdhga8|mKIAA4054|-|18 B3|18|protein-coding	-2.5904668751744597	0.000262110937995392	3.40883975559214
NM_008372	Il7r|CD127|IL-7Ralpha|-|15 A1|15 4.16 cM|protein-coding	-2.57269016860372	8.64116528568711e-05	6.515409188910531
NM_001252401	Tle2|Grg2|mKIAA4188|-|10 C1|10|protein-coding	-2.4680724123821403	0.00106872259726035	2.84644309399712
NM_028331	C1qtnf6|2810036M19Rik|CTRP6|AL590144.2|15 E1|15|protein-coding	-2.4469365782462598	0.00176907780409469	2.6867361382870696
NM_033583	Pcdhgc5|-|-|18 B3|18|protein-coding	-2.4321439570947003	0.00077786884728818	3.4314712702704604
NM_001039578	Evi5l|1700084G18Rik|2310039H16Rik|3110007G05Rik|B130050I23Rik|-|8 A1.1|8|protein-coding	-2.4277759688111002	0.00410041396961754	2.05900501584413
NM_011851	Nt5e|2210401F01Rik|AI447961|CD73|NT|Nt5|eNT|-|9|9 E3.2|protein-coding	-2.3786960842846496	0.000457313417688494	4.87951585159402
NM_030710	Slamf6|KAL1|KAL1b|Ly108|NTB-A|NTBA|SF2000|-|1 H3|1 79.54 cM|protein-coding	-2.30883892652435	0.000825422132065777	4.5077267807263395
