Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-RNA-LCMV-0d-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 -noadj -condenseGenes) (cmd=getDiffExpression.pl tag_counts.txt KLRGhi-LCMV-12d KLRGhi-LCMV-7d KLRGlo-LCMV-12d KLRGlo-LCMV-7d RNA-LCMV-0d RNA-LCMV-35d-rep1 RNA-LCMV-35d-rep2 Foxo1-KO-KLRGhi-LCMV-12d Foxo1-KO-KLRGhi-LCMV-7d Foxo1-KO-KLRGlo-LCMV-7d Foxo1-KO-LCMV-0d)	Annotation/Divergence	KLRGhi-LCMV-12d vs. RNA-LCMV-0d logFC	KLRGhi-LCMV-12d vs. RNA-LCMV-0d FDR	KLRGhi-LCMV-12d vs. RNA-LCMV-0d logCPM
NR_033657	Miat|3632434I06|A230057G18Rik|Rncr2|gomafu|-|5 F|5|ncRNA	-13.6496461018886	2.04971719402941e-32	5.422261763463321
NM_001081984	Popdc2|AV006127|Pop2|-|16 B3|16|protein-coding	-12.0559326077211	1.10986920624021e-23	3.8357665382473303
NM_001281487	Cdc20b|EG238896|EG622422|-|13 D2.2|13|protein-coding	-11.8122826540132	2.34608041480898e-22	3.59409227836738
NM_001001885	Tmem151a|AW125688|Gm961|Tmem151|-|19 A|19|protein-coding	-11.7061361020392	8.38007062655686e-22	3.48891485363415
NM_018873	Srcin1|P140|SNIP|mKIAA1684|p140Cap|RP23-157O10.7|11 D|11|protein-coding	-11.702729404369302	8.23761174116592e-38	6.64814632761461
NM_007419	Adrb1|Adrb-1|beta-AR|-|19 D2|19 51.96 cM|protein-coding	-11.104077827044101	1.36871063997623e-18	2.89390139265665
NM_008519	Ltb4r1|BLT1|BLTR|Ltb4r|mBLTR|-|14 C3|14 28.19 cM|protein-coding	-10.995604573378598	5.0484480615345e-18	2.7870330923904802
NM_001025602	Il1rl1|DER4|Fit-1|Ly84|ST2L|St2|St2-rs1|T1|T1/ST2|-|1 B|1 19.19 cM|protein-coding	-10.8474300835921	2.95755118204253e-17	2.64125043899438
NM_015789	Dkkl1|AI414495|SGY|SGY-1|SGY1|Soggy|mSgy|-|7 B4|7 29.19 cM|protein-coding	-10.790128652220302	5.67598185038189e-17	2.58494014689692
NR_110572	Zeb2os|Gm13476|OTTMUSG00000012358|RP23-431O5.1|2 B|2|ncRNA	-10.790128652220302	5.67598185038189e-17	2.58494014689692
